,algorithm,dataset,language,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
127,logisticRegression,breastCancer,matlab,train,0.07623509565989171,9.625317641982327e-07,2.1772083493458347e-07,2.8553949293427823e-06,42.5,8.992230616233968e-07
128,logisticRegression,breastCancer,python,test,0.0018608967463175036,2.1064524297361022e-08,4.764711137965874e-09,2.557181794614287e-06,42.5,2.003627794760245e-08
129,logisticRegression,breastCancer,python,train,0.0129687070846557,1.6200841245827854e-07,3.498889622940101e-08,2.729999010610616e-06,42.5,1.5160801785963555e-07
130,logisticRegression,iris,R,test,0.012743854522705038,1.5944703309624285e-07,3.323617942128265e-08,2.6428019318384545e-06,42.5,1.4915119166727423e-07
131,logisticRegression,iris,R,train,0.19163307348887124,2.4211055934429168e-06,5.47644400814414e-07,2.8577751917245353e-06,42.5,2.261611902051502e-06
132,logisticRegression,iris,cpp,test,0.00045020973302594,4.685643373805862e-09,1.549626605298327e-09,3.405578239910953e-06,42.5,4.5028690960356884e-09
133,logisticRegression,iris,cpp,train,0.003639641800570287,4.4901227637418983e-08,1.1622713196327458e-08,3.665117616857096e-06,42.5,4.208692085950572e-08
134,logisticRegression,iris,java,test,0.0009860436121622233,1.1637736249853065e-08,2.6324093887717637e-09,2.6696093717669524e-06,42.5,1.1065756833111798e-08
135,logisticRegression,iris,java,train,0.00101768970489497,1.2040619496945983e-08,2.7235399677311933e-09,2.6763139849073574e-06,42.5,1.1443672356782139e-08
136,logisticRegression,iris,matlab,test,0.014081867535908966,1.7616053311913104e-07,3.778211826818751e-08,2.727665756198754e-06,42.5,1.647838343072821e-07
137,logisticRegression,iris,matlab,train,0.0496007919311523,6.259778186126992e-07,1.324659415934728e-07,2.7600034275177515e-06,42.5,5.848497924981294e-07
138,logisticRegression,iris,python,test,0.0018808205922444135,2.1250881530620436e-08,4.80686439870022e-09,2.554989340244609e-06,42.5,2.0209661236515754e-08
139,logisticRegression,iris,python,train,0.008167258898417117,1.0133866579444321e-07,2.1107038074008604e-08,2.6201658911635315e-06,42.5,9.49218151745973e-08
140,logisticRegression,wine,R,test,0.02825520038604732,3.5572935916759354e-07,8.0464558126273e-08,2.8476400388037113e-06,42.5,3.324830973589862e-07
141,logisticRegression,wine,R,train,7.301867580413818,9.228575265517942e-05,2.0874668107590963e-05,2.858812294778789e-06,42.5,8.620123892470642e-05
142,logisticRegression,wine,cpp,test,0.00060314310030657,6.525568079757283e-09,1.9845345969110935e-09,3.4204848436176703e-06,42.5,6.230563357331886e-09
143,logisticRegression,wine,cpp,train,0.0027245458671434635,3.331566095413211e-08,1.0277259421003347e-08,3.899870999521128e-06,42.5,3.1264127426564103e-08
144,logisticRegression,wine,java,test,0.0009172836939493233,1.0857852520766081e-08,2.3429194003768985e-09,2.585853139788359e-06,42.5,1.0325218792314883e-08
145,logisticRegression,wine,java,train,0.3012912670771281,3.807523165588026e-06,8.443498102972168e-07,2.710306779354629e-06,42.5,3.5565974259818046e-06
146,logisticRegression,wine,matlab,test,0.017907563845316523,2.2454760251221836e-07,4.8940403797962316e-08,2.742936940690859e-06,42.5,2.0996753816251405e-07
